"Table 1: Journeys with an out of station interchange (OSI), 26th October - 21st December 2020",,,
"Notes: Volumes have been rounded to the nearest 10, therefore journeys volumes below 5 have been suppressed.",,,
             Incomplete journeys are not included,,,
Start_station,End_station,Volume of Journeys,
Wimbledon,Brixton LU," 1,660 ",
Paddington LU,East Croydon," 1,660 ",
Hammersmith C&H,North Acton," 1,660 ",
Bond Street,Surbiton," 1,660 ",
Canary Wharf LU (E1),Surbiton," 1,650 ",
Oxford Circus,Beckenham Junction," 1,640 ",
Kings Cross LU (Western),Ilford," 1,640 ",
Oxford Circus,Raynes Park," 1,640 ",
East Croydon,Sloane Square," 1,640 ",
Green Park,Bromley South," 1,630 ",
Lewisham NR,Oxford Circus," 1,630 ",
Putney,Warren Street," 1,630 ",
Elstree & Borehamwood,Bond Street," 1,620 ",
Brixton LU,Earlsfield," 1,620 ",
Oxford Circus,Hayes & Harlington," 1,620 ",
Clapham Junction,London Bridge NR," 1,620 ",
Clapham Junction,Mansion House," 1,610 ",
New Malden,Oxford Circus," 1,610 ",
Clapham Junction,Ealing Broadway," 1,600 ",
Wandsworth Town,Green Park," 1,600 ",
Euston Square,Ilford," 1,600 ",
Barking,East Croydon," 1,590 ",
Bond Street,Abbey Wood," 1,570 ",
Ilford,Euston Square," 1,570 ",
Oxford Circus,Penge East," 1,570 ",
Bromley South,Warren Street," 1,570 ",
South Kensington,Clapham Junction," 1,560 ",
Piccadilly Circus,Clapham Junction," 1,560 ",
Brixton LU,Richmond," 1,560 ",
London Bridge LU,Wandsworth Town," 1,560 ",
Surbiton,Bond Street," 1,550 ",
Bond Street,Elstree & Borehamwood," 1,550 ",
Bond Street,Romford," 1,540 ",
Warren Street,Bromley South," 1,520 ",
Stratford,Seven Sisters," 1,520 ",
Tooting Broadway,Clapham Junction," 1,510 ",
Clapham Junction,North Greenwich," 1,510 ",
Clapham Junction,Piccadilly Circus," 1,510 ",
Oxford Circus,Denmark Hill," 1,500 ",
Barking,Lewisham DLR," 1,500 ",
Richmond,Brixton LU," 1,490 ",
Sloane Square,East Croydon," 1,490 ",
Penge East,Oxford Circus," 1,490 ",
Seven Sisters,Stratford," 1,490 ",
Oxford Circus,Thornton Heath," 1,490 ",
Ealing Broadway,Clapham Junction," 1,480 ",
Lewisham NR,Green Park," 1,480 ",
Peckham Rye,Oxford Circus," 1,480 ",
East Croydon,Paddington LU," 1,470 ",
East Croydon,Baker Street," 1,460 ",
Putney,Kings Cross LU (North)," 1,460 ",
Southall,Oxford Circus," 1,460 ",
Clapham Junction,Tooting Broadway," 1,460 ",
Tottenham Court Road,Clapham Junction," 1,450 ",
Enfield Lock,Oxford Circus," 1,450 ",
Surbiton,Green Park," 1,430 ",
Twickenham,Oxford Circus," 1,430 ",
Chadwell Heath,Euston Square," 1,420 ",
Oxford Circus,Barnes," 1,410 ",
Baker Street,East Croydon," 1,410 ",
Chadwell Heath,Kings Cross LU (Western)," 1,410 ",
Mansion House,Clapham Junction," 1,400 ",
East Croydon,Moorgate," 1,400 ",
Green Park,Putney," 1,390 ",
Walthamstow Central,Brimsdown," 1,380 ",
Northolt,Clapham Junction," 1,380 ",
Oxford Circus,New Malden," 1,380 ",
Clapham Junction,Northolt," 1,380 ",
Oxford Circus,Peckham Rye," 1,380 ",
Lewisham NR,South Kensington," 1,380 ",
Kings Cross LU (Western),Chadwell Heath," 1,370 ",
Warren Street,Putney," 1,370 ",
Enfield Lock,Finsbury Park LU," 1,360 ",
Northolt,Hammersmith C&H," 1,360 ",
Hammersmith C&H,Northolt," 1,360 ",
Clapham Junction,Tottenham Court Road," 1,360 ",
Clapham Junction,Camden Town," 1,350 ",
Oxford Circus,Carshalton," 1,350 ",
Romford,Great Portland Street," 1,350 ",
Bromley South,Green Park," 1,350 ",
Kingston,Oxford Circus," 1,350 ",
Holborn,Romford," 1,350 ",
East Croydon,Barking," 1,340 ",
Great Portland Street,Romford," 1,340 ",
